player_name,season,height_inches,weight,forty,bench,vertical,broad_jump,cone,shuttle,bmi,size_score,speed_score,burst_score,agility_score,pos,pos_group,conf_tier,is_skill,is_blue_blood,is_sec,age_at_draft,era,draft_ovr,draft_round,is_first_round,is_drafted
Dwan Epps,2000,73.0,242.0,4.68,8.0,34.5,,,,31.92456370801276,17666.0,100.89321224408168,34.5,,ILB,LB,FCS/Other,0,0,0,,2000-2005,,8,0,0
Matt Farmer,2000,72.0,190.0,4.51,,33.0,108.0,6.63,3.94,25.76581790123457,13680.0,91.8496337937734,42.0,10.57,WR,Skill,FCS/Other,1,0,0,,2000-2005,,8,0,0
Danny Farmer,2000,75.0,217.0,4.58,,,,,,27.12017777777778,16275.0,98.63426609799428,,,WR,Skill,Power Five,1,0,0,23.0,2000-2005,103.0,4,0,1
Kevin Feterik,2000,71.0,207.0,4.92,,31.0,106.0,7.3,4.45,28.867486609799645,14697.0,70.65451670462498,39.833333333333336,11.75,QB,QB,FCS/Other,1,0,0,,2000-2005,,8,0,0
Chafie Fields,2000,73.0,196.0,4.43,,,,,,25.856258209795456,14308.0,101.78204258119828,,,WR,Skill,Power Five,1,1,0,,2000-2005,,8,0,0
Aaron Fields,2000,76.0,243.0,4.76,22.0,34.0,115.0,7.51,4.56,29.575657894736842,18468.0,94.66914577509309,43.583333333333336,12.07,DE,Edge,Group of Five,0,0,0,,2000-2005,,8,0,0
Zeron Flemister,2000,76.0,249.0,4.72,14.0,37.0,116.0,6.92,4.16,30.30592105263158,18924.0,100.33705461940106,46.666666666666664,11.08,TE,Skill,Power Five,1,0,0,,2000-2005,,8,0,0
Erik Flowers,2000,76.0,271.0,4.75,24.0,33.0,114.0,7.21,4.15,32.98355263157895,20596.0,106.46941014878645,42.5,11.36,DE,Edge,Power Five,0,0,0,22.0,2000-2005,26.0,1,1,1
Derrick Foster,2000,71.0,201.0,4.43,19.0,34.5,117.0,6.84,4.36,28.03074786748661,14271.0,104.37852325929008,44.25,11.2,RB,Skill,FCS/Other,1,0,0,,2000-2005,,8,0,0
Larry Foster,2000,70.0,198.0,4.55,,37.0,121.0,6.88,4.06,28.406938775510202,13860.0,92.3952402976941,47.083333333333336,10.94,WR,Skill,Power Five,1,1,1,,2000-2005,,8,0,0
John Frank,2000,76.0,280.0,4.78,32.0,37.0,117.0,7.07,4.27,34.078947368421055,21280.0,107.26954550810873,46.75,11.34,DE,Edge,Power Five,0,0,0,,2000-2005,178.0,6,0,1
Bubba Franks,2000,78.0,265.0,4.85,,,,,,30.620479947403027,20670.0,95.78751690076419,,,TE,Skill,FCS/Other,1,0,0,22.0,2000-2005,14.0,1,1,1
Todd Franz,2000,73.0,199.0,4.55,14.0,,,,,26.25201726402702,14527.0,92.86188292546024,,,S,DB,Group of Five,0,0,0,24.0,2000-2005,145.0,5,0,1
Arturo Freeman,2000,72.0,188.0,4.5,14.0,35.5,124.0,6.91,4.38,25.494598765432098,13536.0,91.69333942996495,45.833333333333336,11.29,S,DB,Power Five,0,0,1,23.0,2000-2005,152.0,5,0,1
Byron Frisch,2000,76.0,281.0,4.73,31.0,34.5,114.0,7.2,4.41,34.20065789473684,21356.0,112.27724629633886,44.0,11.61,DE,Edge,FCS/Other,0,0,0,23.0,2000-2005,93.0,3,0,1
Mondriel Fulcher,2000,75.0,253.0,4.85,18.0,27.0,116.0,7.46,4.52,31.61937777777778,18975.0,91.44996896563525,36.666666666666664,11.98,FB,Skill,FCS/Other,1,0,0,23.0,2000-2005,227.0,7,0,1
Trent Gamble,2000,69.0,186.0,4.56,21.0,37.0,124.0,6.6,3.9,27.464398235664778,12834.0,86.03666530535573,47.333333333333336,10.5,S,DB,FCS/Other,0,0,0,,2000-2005,,8,0,0
Jason Gavadza,2000,75.0,249.0,4.62,22.0,32.5,113.0,7.15,4.3,31.119466666666668,18675.0,109.31038918062856,41.916666666666664,11.45,TE,Skill,Group of Five,1,0,0,,2000-2005,204.0,6,0,1
Trevor Gaylor,2000,75.0,199.0,4.56,,37.5,121.0,7.03,4.29,24.87057777777778,14925.0,92.04998062239672,47.583333333333336,11.32,WR,Skill,Group of Five,1,0,0,22.0,2000-2005,111.0,4,0,1
Kabeer Gbaja-Biamila,2000,76.0,243.0,4.65,21.0,34.0,120.0,6.9,4.28,29.575657894736842,18468.0,103.9499913916413,44.0,11.18,OLB,Edge,Group of Five,0,0,0,22.0,2000-2005,149.0,5,0,1
Sherrod Gideon,2000,71.0,173.0,4.66,,,,,,24.125967070025787,12283.0,73.37235050207236,,,WR,Skill,Group of Five,1,0,0,,2000-2005,200.0,6,0,1
Ian Gold,2000,73.0,221.0,4.56,21.0,33.0,115.0,6.97,4.19,29.15425032839182,16133.0,102.22636038969685,42.583333333333336,11.16,OLB,Edge,Power Five,0,1,0,22.0,2000-2005,40.0,2,0,1
Dwayne Goodrich,2000,71.0,195.0,4.45,,,,,,27.19400912517358,13845.0,99.45452856871974,,,CB,DB,Power Five,0,1,1,22.0,2000-2005,49.0,2,0,1
Lamar Grant,2000,71.0,188.0,4.62,16.0,32.0,117.0,7.3,4.3,26.217813925808372,13348.0,82.53153881910912,41.75,11.6,CB,DB,Power Five,0,0,0,,2000-2005,,8,0,0
Deon Grant,2000,74.0,209.0,4.5,15.0,,,,,26.83108108108108,15466.0,101.93568053650358,,,S,DB,Power Five,0,1,1,21.0,2000-2005,57.0,2,0,1
Ernest Grant,2000,77.0,316.0,5.31,24.0,29.5,98.0,8.0,5.03,37.46803845505144,24332.0,79.49484995483051,37.666666666666664,13.030000000000001,DT,DL,FCS/Other,0,0,0,24.0,2000-2005,167.0,6,0,1
Jonathan Gray,2000,76.0,338.0,5.85,20.0,23.0,94.0,,,41.13815789473684,25688.0,57.7195892168985,30.833333333333332,,OT,OL,Power Five,0,0,0,,2000-2005,,8,0,0
Brian Gray,2000,73.0,214.0,4.94,19.0,33.5,116.0,7.38,4.24,28.230812535184835,15622.0,71.86806854056135,43.166666666666664,11.620000000000001,CB,DB,FCS/Other,0,0,0,,2000-2005,,8,0,0
Barrett Green,2000,72.0,233.0,4.56,22.0,36.0,120.0,,,31.59702932098765,16776.0,107.77711299004238,46.0,,OLB,Edge,Power Five,0,0,0,22.0,2000-2005,50.0,2,0,1
Mike Green,2000,72.0,189.0,4.53,,38.5,118.0,,4.2,25.630208333333336,13608.0,89.76333750521907,48.333333333333336,4.2,S,DB,FCS/Other,0,0,0,24.0,2000-2005,213.0,7,0,1
Damian Gregory,2000,74.0,307.0,4.87,27.0,30.0,105.0,7.37,4.6,39.41216216216216,22718.0,109.15723500316983,38.75,11.969999999999999,DT,DL,FCS/Other,0,0,0,,2000-2005,,8,0,0
Cornelius Griffin,2000,75.0,297.0,4.9,30.0,31.0,111.0,7.63,4.62,37.1184,22275.0,103.0391161811136,40.25,12.25,DE,Edge,Power Five,0,1,1,23.0,2000-2005,42.0,2,0,1
Clark Haggans,2000,75.0,253.0,4.97,20.0,31.5,109.0,7.12,4.21,31.61937777777778,18975.0,82.93253905512017,40.583333333333336,11.33,OLB,Edge,FCS/Other,0,0,0,23.0,2000-2005,137.0,5,0,1
Ricky Hall,2000,74.0,206.0,4.52,,,,,,26.445945945945947,15244.0,98.7059827358997,,,WR,Skill,Power Five,1,0,0,,2000-2005,,8,0,0
Dante' Hall,2000,68.0,191.0,4.44,18.0,38.0,123.0,6.62,3.82,29.038278546712803,12988.0,98.29501254819922,48.25,10.44,RB,Skill,Power Five,1,0,1,,2000-2005,,8,0,0
James Hall,2000,74.0,271.0,5.03,,32.0,111.0,7.86,4.51,34.79054054054054,20054.0,84.6695684657934,41.25,12.370000000000001,DE,Edge,Power Five,0,1,0,,2000-2005,,8,0,0
Troy Hambrick,2000,72.0,237.0,4.66,21.0,34.5,118.0,7.48,4.44,32.139467592592595,17064.0,100.51587901150954,44.333333333333336,11.920000000000002,RB,Skill,Power Five,1,0,1,,2000-2005,,8,0,0
Joey Hamilton,2000,73.0,201.0,4.54,,36.0,116.0,7.57,4.41,26.51585663351473,14673.0,94.62429170012722,45.666666666666664,11.98,WR,Skill,FCS/Other,1,0,0,,2000-2005,,8,0,0
Joe Hamilton,2000,70.0,192.0,4.81,,,106.0,,,27.54612244897959,13440.0,71.73827323905358,,,QB,QB,Power Five,1,0,0,23.0,2000-2005,234.0,7,0,1
Thomas Hamner,2000,72.0,197.0,4.5,17.0,32.0,125.0,6.97,4.07,26.715084876543212,14184.0,96.08291418991007,42.416666666666664,11.04,RB,Skill,Power Five,1,0,0,,2000-2005,171.0,6,0,1
D'Andre Hardeman,2000,70.0,238.0,4.81,,30.0,109.0,7.27,4.36,34.145714285714284,16660.0,88.92556786924351,39.083333333333336,11.629999999999999,FB,Skill,Power Five,1,0,1,,2000-2005,,8,0,0
Antwan Harris,2000,69.0,186.0,4.34,16.0,39.0,121.0,6.75,4.01,27.464398235664778,12834.0,104.85376318268696,49.083333333333336,10.76,CB,DB,Power Five,0,0,0,23.0,2000-2005,187.0,6,0,1
Jeff Harris,2000,72.0,190.0,4.53,,34.5,114.0,6.73,4.25,25.76581790123457,13680.0,90.23827579889748,44.0,10.98,CB,DB,Power Five,0,1,1,,2000-2005,232.0,7,0,1
